CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
24429000,08TH ST,GROVE ST \ HYDE ST \ MARKET ST,,,,GROVE ST \ HYDE ST \ MARKET ST intersection,,750
24327000,08TH ST,STEVENSON ST,,,,STEVENSON ST intersection,,752
24311000,08TH ST,MISSION ST,,,,MISSION ST intersection,,754
24310000,08TH ST,MINNA ST,,,,MINNA ST intersection,,756
24302000,08TH ST,NATOMA ST,,,,NATOMA ST intersection,,758
24299000,08TH ST,HOWARD ST,,,,HOWARD ST intersection,,760
24298000,08TH ST,TEHAMA ST,,,,TEHAMA ST intersection,,762
24273000,08TH ST,CLEMENTINA ST,,,,CLEMENTINA ST intersection,,764
24272000,08TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,766
24267000,08TH ST,RINGOLD ST,,,,RINGOLD ST intersection,,768
24266000,08TH ST,HERON ST,,,,HERON ST intersection,,770
24201000,08TH ST,HARRISON ST,,,,HARRISON ST intersection,,772
50080000,08TH ST,I-80 W OFF RAMP,,,,I-80 W OFF RAMP intersection,,774
50081000,08TH ST,I-80 W OFF RAMP,,,,I-80 W OFF RAMP intersection,,776
24199000,08TH ST,BRYANT ST,,,,BRYANT ST intersection,,778
23872000,08TH ST,BRANNAN ST,,,,BRANNAN ST intersection,,780
23871000,08TH ST,TOWNSEND ST,,,,TOWNSEND ST intersection,,782
33620000,08TH ST,DIVISION ST,,,,DIVISION ST intersection,,784
23848000,08TH ST,15TH ST \ CAROLINA ST,,,,15TH ST \ CAROLINA ST intersection,,785
23846000,08TH ST,HOOPER ST,,,,HOOPER ST intersection,,787
23844000,08TH ST,IRWIN ST \ WISCONSIN ST,,,,IRWIN ST \ WISCONSIN ST intersection,,789
23843000,08TH ST,16TH ST,,,,16TH ST intersection,,791
34068000,08TH TI ST,AVENUE H,,,,AVENUE H intersection,,792
34067000,08TH TI ST,AVENUE I,,,,AVENUE I intersection,,794
34066000,08TH TI ST,AVENUE M,,,,AVENUE M intersection,,796
34065000,08TH TI ST,AVENUE N,,,,AVENUE N intersection,,798
51418000,09TH AVE,END,,,,END intersection,,799
27608000,09TH AVE,LAKE ST,,,,LAKE ST intersection,,801
27606000,09TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,803
27291000,09TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,805
27289000,09TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,807
27283000,09TH AVE,ANZA ST,,,,ANZA ST intersection,,809
27281000,09TH AVE,BALBOA ST,,,,BALBOA ST intersection,,811
27280000,09TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,813
27279000,09TH AVE,FULTON ST,,,,FULTON ST intersection,,815
27252000,09TH AVE,MARTIN LUTHER KING JR DR,,,,MARTIN LUTHER KING JR DR intersection,,816
27156000,09TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,818
27154000,09TH AVE,IRVING ST,,,,IRVING ST intersection,,820
27147000,09TH AVE,JUDAH ST,,,,JUDAH ST intersection,,822
27145000,09TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,824
27109000,09TH AVE,LAWTON ST,,,,LAWTON ST intersection,,826
27106000,09TH AVE,MORAGA ST,,,,MORAGA ST intersection,,828
27107000,09TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,830
27097000,09TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,832
27089000,09TH AVE,PACHECO ST,,,,PACHECO ST intersection,,834
27041000,09TH AVE,ALTON AVE,,,,ALTON AVE intersection,,836
27088000,09TH AVE,SOTELO AVE,,,,SOTELO AVE intersection,,838
22981000,09TH AVE,MENDOSA AVE,,,,MENDOSA AVE intersection,,840
22980000,09TH AVE,MESA AVE,,,,MESA AVE intersection,,842
33573000,09TH AVE,END,,,,END intersection,,844
33574000,09TH AVE,UNNAMED 031,,,,UNNAMED 031 intersection,,846
33576000,09TH AVE,END,,,,END intersection,,848
33575000,09TH AVE,UNNAMED 030,,,,UNNAMED 030 intersection,,850
32887000,09TH AVE,12TH AVE \ RIVERA ST,,,,12TH AVE \ RIVERA ST intersection,,853
30745000,09TH ST,LARKIN ST \ MARKET ST,,,,LARKIN ST \ MARKET ST intersection,,854
24416000,09TH ST,JESSIE ST,,,,JESSIE ST intersection,,856
24313000,09TH ST,MISSION ST,,,,MISSION ST intersection,,858
24312000,09TH ST,MINNA ST,,,,MINNA ST intersection,,860
24306000,09TH ST,NATOMA ST,,,,NATOMA ST intersection,,862
24305000,09TH ST,HOWARD ST,,,,HOWARD ST intersection,,864
24297000,09TH ST,TEHAMA ST,,,,TEHAMA ST intersection,,866
24296000,09TH ST,CLEMENTINA ST,,,,CLEMENTINA ST intersection,,868
24246000,09TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,870
24231000,09TH ST,RINGOLD ST,,,,RINGOLD ST intersection,,872
24212000,09TH ST,SHERIDAN ST,,,,SHERIDAN ST intersection,,874
24209000,09TH ST,HARRISON ST,,,,HARRISON ST intersection,,876
24203000,09TH ST,MCLEA CT,,,,MCLEA CT intersection,,878
24198000,09TH ST,BRYANT ST \ HWY 101 N OFF RAMP,,,,BRYANT ST \ HWY 101 N OFF RAMP intersection,,880
23881000,09TH ST,BRANNAN ST,,,,BRANNAN ST intersection,,882
33614000,09TH ST,DIVISION ST,,,,DIVISION ST intersection,,884
34069000,09TH TI ST,AVENUE OF THE PALMS \ PERIMETER PATH,,,,AVENUE OF THE PALMS \ PERIMETER PATH intersection,,885
34070000,09TH TI ST,AVENUE B,,,,AVENUE B intersection,,887
34071000,09TH TI ST,AVENUE D,,,,AVENUE D intersection,,889
34072000,09TH TI ST,AVENUE E,,,,AVENUE E intersection,,891
34073000,09TH TI ST,AVENUE F,,,,AVENUE F intersection,,893
34074000,09TH TI ST,AVENUE H,,,,AVENUE H intersection,,895
34075000,09TH TI ST,AVENUE I,,,,AVENUE I intersection,,897
34076000,09TH TI ST,AVENUE M,,,,AVENUE M intersection,,899
51417000,10TH AVE,END,,,,END intersection,,900
27609000,10TH AVE,LAKE ST,,,,LAKE ST intersection,,902
27607000,10TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,904
27303000,10TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,906
27301000,10TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,908
27295000,10TH AVE,ANZA ST,,,,ANZA ST intersection,,910
27293000,10TH AVE,BALBOA ST,,,,BALBOA ST intersection,,912
27292000,10TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,914
27262000,10TH AVE,FULTON ST,,,,FULTON ST intersection,,916
27259000,10TH AVE,JOHN F KENNEDY DR,,,,JOHN F KENNEDY DR intersection,,918
27157000,10TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,919
27155000,10TH AVE,IRVING ST,,,,IRVING ST intersection,,921
27148000,10TH AVE,JUDAH ST,,,,JUDAH ST intersection,,923
27146000,10TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,925
27110000,10TH AVE,LAWTON ST,,,,LAWTON ST intersection,,927
27108000,10TH AVE,MORAGA ST,,,,MORAGA ST intersection,,929
27100000,10TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,931
27098000,10TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,933
27094000,10TH AVE,PACHECO ST,,,,PACHECO ST intersection,,935
22982000,10TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,937
22983000,10TH AVE,MENDOSA AVE \ UNNAMED 030,,,,MENDOSA AVE \ UNNAMED 030 intersection,,939
30746000,10TH ST,FELL ST \ MARKET ST \ POLK ST,,,,FELL ST \ MARKET ST \ POLK ST intersection,,940
24424000,10TH ST,END,,,,END intersection,,942
24423000,10TH ST,JESSIE ST,,,,JESSIE ST intersection,,944
24415000,10TH ST,JESSIE ST,,,,JESSIE ST intersection,,946
24414000,10TH ST,MISSION ST,,,,MISSION ST intersection,,948
24413000,10TH ST,MINNA ST,,,,MINNA ST intersection,,950
24412000,10TH ST,NATOMA ST,,,,NATOMA ST intersection,,952
24248000,10TH ST,HOWARD ST,,,,HOWARD ST intersection,,954
24233000,10TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,956
24232000,10TH ST,SHERIDAN ST,,,,SHERIDAN ST intersection,,958
24206000,10TH ST,HARRISON ST,,,,HARRISON ST intersection,,960
24192000,10TH ST,BRYANT ST \ HWY 101 S ON RAMP,,,,BRYANT ST \ HWY 101 S ON RAMP intersection,,962
24190000,10TH ST,BRANNAN ST \ DIVISION ST \ POTRERO AVE,,,,BRANNAN ST \ DIVISION ST \ POTRERO AVE intersection,,964
34079000,10TH TI ST,AVENUE M,,,,AVENUE M intersection,,965
34077000,10TH TI ST,AVENUE N,,,,AVENUE N intersection,,967
51416000,11TH AVE,END,,,,END intersection,,968
27612000,11TH AVE,LAKE ST,,,,LAKE ST intersection,,970
27610000,11TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,972
27305000,11TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,974
27302000,11TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,976
27296000,11TH AVE,ANZA ST,,,,ANZA ST intersection,,978
27294000,11TH AVE,BALBOA ST,,,,BALBOA ST intersection,,980
27264000,11TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,982
27263000,11TH AVE,FULTON ST,,,,FULTON ST intersection,,984
27172000,11TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,985
27170000,11TH AVE,IRVING ST,,,,IRVING ST intersection,,987
27160000,11TH AVE,JUDAH ST,,,,JUDAH ST intersection,,989
27158000,11TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,991
27128000,11TH AVE,LAWTON ST,,,,LAWTON ST intersection,,993
27126000,11TH AVE,MORAGA ST,,,,MORAGA ST intersection,,995
27125000,11TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,997
27113000,11TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,999
27099000,11TH AVE,PACHECO ST,,,,PACHECO ST intersection,,1001
30747000,11TH ST,MARKET ST,,,,MARKET ST intersection,,1002
24421000,11TH ST,MISSION ST,,,,MISSION ST intersection,,1004
24363000,11TH ST,MINNA ST,,,,MINNA ST intersection,,1006
24355000,11TH ST,NATOMA ST,,,,NATOMA ST intersection,,1008
24353000,11TH ST,HOWARD ST,,,,HOWARD ST intersection,,1010
24350000,11TH ST,KISSLING ST,,,,KISSLING ST intersection,,1012
24249000,11TH ST,BURNS PL,,,,BURNS PL intersection,,1014
24238000,11TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1016
24229000,11TH ST,HARRISON ST,,,,HARRISON ST intersection,,1018
24216000,11TH ST,13TH ST \ BRYANT ST \ DIVISION ST,,,,13TH ST \ BRYANT ST \ DIVISION ST intersection,,1020
34082000,11TH TI ST,AVENUE D,,,,AVENUE D intersection,,1021
34083000,11TH TI ST,AVENUE E,,,,AVENUE E intersection,,1023
34084000,11TH TI ST,AVENUE F,,,,AVENUE F intersection,,1025
34085000,11TH TI ST,AVENUE H,,,,AVENUE H intersection,,1027
34086000,11TH TI ST,AVENUE I,,,,AVENUE I intersection,,1029
34087000,11TH TI ST,AVENUE M,,,,AVENUE M intersection,,1031
34088000,11TH TI ST,AVENUE M,,,,AVENUE M intersection,,1032
34089000,11TH TI ST,AVENUE N,,,,AVENUE N intersection,,1034
32887000,12TH AVE,09TH AVE \ RIVERA ST,,,,09TH AVE \ RIVERA ST intersection,,1035
51513000,12TH AVE,END,,,,END intersection,,1037
51415000,12TH AVE,END,,,,END intersection,,1038
27613000,12TH AVE,LAKE ST,,,,LAKE ST intersection,,1040
27611000,12TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,1042
27306000,12TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,1044
27304000,12TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,1046
27299000,12TH AVE,ANZA ST,,,,ANZA ST intersection,,1048
27297000,12TH AVE,BALBOA ST,,,,BALBOA ST intersection,,1050
27267000,12TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,1052
27266000,12TH AVE,FULTON ST,,,,FULTON ST intersection,,1054
27175000,12TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,1055
27171000,12TH AVE,IRVING ST,,,,IRVING ST intersection,,1057
27161000,12TH AVE,JUDAH ST,,,,JUDAH ST intersection,,1059
27159000,12TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,1061
27130000,12TH AVE,LAWTON ST,,,,LAWTON ST intersection,,1063
27129000,12TH AVE,MORAGA ST,,,,MORAGA ST intersection,,1065
27127000,12TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1067
27116000,12TH AVE,PACHECO ST,,,,PACHECO ST intersection,,1068
27111000,12TH AVE,FUNSTON AVE \ ROCKRIDGE DR,,,,FUNSTON AVE \ ROCKRIDGE DR intersection,,1070
27112000,12TH AVE,CRAGMONT AVE \ ROCKRIDGE DR,,,,CRAGMONT AVE \ ROCKRIDGE DR intersection,,1071
32884000,12TH AVE,ROCKRIDGE DR,,,,ROCKRIDGE DR intersection,,1073
27095000,12TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,1075
32885000,12TH AVE,MENDOSA AVE,,,,MENDOSA AVE intersection,,1077
50557000,12TH AVE,END,,,,END intersection,,1079
22968000,12TH AVE,MAGELLAN AVE,,,,MAGELLAN AVE intersection,,1081
22988000,12TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,1083
30749000,12TH ST,MARKET ST \ PAGE ST,,,,MARKET ST \ PAGE ST intersection,,1084
24389000,12TH ST,STEVENSON ST,,,,STEVENSON ST intersection,,1086
24388000,12TH ST,MISSION ST \ OTIS ST \ SOUTH VAN NESS AVE,,,,MISSION ST \ OTIS ST \ SOUTH VAN NESS AVE intersection,,1088
24358000,12TH ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,1089
24354000,12TH ST,HOWARD ST,,,,HOWARD ST intersection,,1091
24348000,12TH ST,KISSLING ST,,,,KISSLING ST intersection,,1093
24347000,12TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1095
24243000,12TH ST,ISIS ST,,,,ISIS ST intersection,,1097
24236000,12TH ST,BERNICE ST,,,,BERNICE ST intersection,,1099
24237000,12TH ST,HARRISON ST,,,,HARRISON ST intersection,,1101
34099000,12TH TI ST,AVENUE B,,,,AVENUE B intersection,,1102
34098000,12TH TI ST,STRIPED BASS ST,,,,STRIPED BASS ST intersection,,1104
34097000,12TH TI ST,STURGEON ST,,,,STURGEON ST intersection,,1106
34096000,12TH TI ST,FLOUNDER CT,,,,FLOUNDER CT intersection,,1108
34095000,12TH TI ST,AVENUE D,,,,AVENUE D intersection,,1110
34092000,12TH TI ST,AVENUE M,,,,AVENUE M intersection,,1111
34091000,12TH TI ST,AVENUE N,,,,AVENUE N intersection,,1113
34090000,12TH TI ST,END,,,,END intersection,,1115
24216000,13TH ST,11TH ST \ BRYANT ST \ DIVISION ST,,,,11TH ST \ BRYANT ST \ DIVISION ST intersection,,1116
24228000,13TH ST,HARRISON ST,,,,HARRISON ST intersection,,1118
33029000,13TH ST,TRAINOR ST,,,,TRAINOR ST intersection,,1121
24349000,13TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1123
33030000,13TH ST,BERNICE ST,,,,BERNICE ST intersection,,1125
33028000,13TH ST,ISIS ST,,,,ISIS ST intersection,,1127
24241000,13TH ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,1130
52256000,13TH ST,HWY 101 S ON RAMP,,,,HWY 101 S ON RAMP intersection,,1133
33027000,13TH ST,DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ MISSION ST \ OTIS ST,,,,DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ MISSION ST \ OTIS ST intersection,,1135
34100000,13TH TI ST,GATEVIEW AVE,,,,GATEVIEW AVE intersection,,1137
34101000,13TH TI ST,KEPPLER CT,,,,KEPPLER CT intersection,,1139
34102000,13TH TI ST,HUTCHINS CT,,,,HUTCHINS CT intersection,,1141
34103000,13TH TI ST,HALYBURTON CT,,,,HALYBURTON CT intersection,,1143
34104000,13TH TI ST,BIGELOW CT,,,,BIGELOW CT intersection,,1145
53032000,13TH TI ST,END,,,,END intersection,,1147
34106000,13TH TI ST,AVENUE E,,,,AVENUE E intersection,,1148
34107000,13TH TI ST,AVENUE H \ GATEVIEW AVE,,,,AVENUE H \ GATEVIEW AVE intersection,,1150
34108000,13TH TI ST,EXPOSITION DR,,,,EXPOSITION DR intersection,,1152
34109000,13TH TI ST,AVENUE I,,,,AVENUE I intersection,,1154
34110000,13TH TI ST,AVENUE M,,,,AVENUE M intersection,,1156
34111000,13TH TI ST,AVENUE N,,,,AVENUE N intersection,,1158
51487000,14TH AVE,PARK BLVD,,,,PARK BLVD intersection,,1159
27622000,14TH AVE,LAKE ST,,,,LAKE ST intersection,,1161
27621000,14TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,1163
27485000,14TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,1165
27480000,14TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,1167
27476000,14TH AVE,ANZA ST,,,,ANZA ST intersection,,1169
27473000,14TH AVE,BALBOA ST,,,,BALBOA ST intersection,,1171
27448000,14TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,1173
27447000,14TH AVE,FULTON ST,,,,FULTON ST intersection,,1175
27261000,14TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,1176
27174000,14TH AVE,IRVING ST,,,,IRVING ST intersection,,1178
27169000,14TH AVE,JUDAH ST,,,,JUDAH ST intersection,,1180
27167000,14TH AVE,KIRKHAM ST \ LURLINE ST,,,,KIRKHAM ST \ LURLINE ST intersection,,1182
27347000,14TH AVE,15TH AVE \ ALOHA AVE,,,,15TH AVE \ ALOHA AVE intersection,,1183
27139000,14TH AVE,MORAGA ST,,,,MORAGA ST intersection,,1185
27134000,14TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1187
32877000,14TH AVE,ENCINAL WALK,,,,ENCINAL WALK intersection,,1189
27133000,14TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1192
27132000,14TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,1194
32875000,14TH AVE,MOUNT LN,,,,MOUNT LN intersection,,1196
27123000,14TH AVE,ORTEGA WAY \ PACHECO ST,,,,ORTEGA WAY \ PACHECO ST intersection,,1198
33562000,14TH AVE,AERIAL WAY,,,,AERIAL WAY intersection,,1200
27119000,14TH AVE,RADIO TER,,,,RADIO TER intersection,,1202
27117000,14TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,1205
32881000,14TH AVE,MANDALAY LN,,,,MANDALAY LN intersection,,1207
27118000,14TH AVE,FANNING WAY,,,,FANNING WAY intersection,,1209
22999000,14TH AVE,RIVERA ST,,,,RIVERA ST intersection,,1212
32888000,14TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,1214
22990000,14TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,1216
22954000,14TH AVE,ULLOA ST,,,,ULLOA ST intersection,,1218
22949000,14TH AVE,VICENTE ST,,,,VICENTE ST intersection,,1220
22944000,14TH AVE,WAWONA ST,,,,WAWONA ST intersection,,1222
22926000,14TH AVE,WEST PORTAL AVE,,,,WEST PORTAL AVE intersection,,1224
22943000,14TH AVE,PORTOLA DR \ SAN ANSELMO AVE \ SANTA ANA AVE,,,,PORTOLA DR \ SAN ANSELMO AVE \ SANTA ANA AVE intersection,,1226
51176000,14TH AVE,WEDEMEYER ST,,,,WEDEMEYER ST intersection,,1227
33033000,14TH ST,HARRISON ST,,,,HARRISON ST intersection,,1229
24337000,14TH ST,TRAINOR ST,,,,TRAINOR ST intersection,,1231
24336000,14TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1233
24339000,14TH ST,SHOTWELL ST,,,,SHOTWELL ST intersection,,1235
24342000,14TH ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,1237
24368000,14TH ST,NATOMA ST,,,,NATOMA ST intersection,,1239
24370000,14TH ST,MINNA ST,,,,MINNA ST intersection,,1241
24372000,14TH ST,MISSION ST,,,,MISSION ST intersection,,1243
24379000,14TH ST,WOODWARD ST,,,,WOODWARD ST intersection,,1245
24373000,14TH ST,JULIAN AVE,,,,JULIAN AVE intersection,,1247
24381000,14TH ST,STEVENSON ST,,,,STEVENSON ST intersection,,1249
24378000,14TH ST,VALENCIA ST,,,,VALENCIA ST intersection,,1251
25835000,14TH ST,GUERRERO ST,,,,GUERRERO ST intersection,,1253
25837000,14TH ST,RAMONA AVE,,,,RAMONA AVE intersection,,1255
25845000,14TH ST,ROSEMONT PL,,,,ROSEMONT PL intersection,,1257
25871000,14TH ST,DOLORES ST,,,,DOLORES ST intersection,,1259
25874000,14TH ST,LANDERS ST,,,,LANDERS ST intersection,,1261
25878000,14TH ST,MARKET ST,,,,MARKET ST intersection,,1263
25882000,14TH ST,CHURCH ST,,,,CHURCH ST intersection,,1265
25883000,14TH ST,BELCHER ST \ BOYNTON CT,,,,BELCHER ST \ BOYNTON CT intersection,,1267
25977000,14TH ST,SANCHEZ ST,,,,SANCHEZ ST intersection,,1269
25980000,14TH ST,WALTER ST,,,,WALTER ST intersection,,1271
25982000,14TH ST,NOE ST,,,,NOE ST intersection,,1273
26004000,14TH ST,CASTRO ST,,,,CASTRO ST intersection,,1275
26007000,14TH ST,DIVISADERO ST,,,,DIVISADERO ST intersection,,1277
26014000,14TH ST,ALPINE TER \ ROOSEVELT WAY,,,,ALPINE TER \ ROOSEVELT WAY intersection,,1279
26015000,14TH ST,BUENA VISTA TER,,,,BUENA VISTA TER intersection,,1281
34114000,14TH TI ST,AVENUE I,,,,AVENUE I intersection,,1282
34113000,14TH TI ST,AVENUE I,,,,AVENUE I intersection,,1284
34112000,14TH TI ST,AVENUE M,,,,AVENUE M intersection,,1286
51488000,15TH AVE,NORTH 15TH AVE,,,,NORTH 15TH AVE intersection,,1287
27625000,15TH AVE,LAKE ST,,,,LAKE ST intersection,,1289
27623000,15TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,1291
27489000,15TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,1293
27488000,15TH AVE,TACOMA ST,,,,TACOMA ST intersection,,1295
27486000,15TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,1297
27478000,15TH AVE,ANZA ST,,,,ANZA ST intersection,,1299
27474000,15TH AVE,BALBOA ST,,,,BALBOA ST intersection,,1301
27450000,15TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,1303
27449000,15TH AVE,FULTON ST,,,,FULTON ST intersection,,1305
27358000,15TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,1306
27357000,15TH AVE,IRVING ST,,,,IRVING ST intersection,,1308
27352000,15TH AVE,JUDAH ST,,,,JUDAH ST intersection,,1310
27351000,15TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,1312
27349000,15TH AVE,LAWTON ST \ LOMITA AVE,,,,LAWTON ST \ LOMITA AVE intersection,,1314
27165000,15TH AVE,LAWTON ST,,,,LAWTON ST intersection,,1315
27164000,15TH AVE,ALOHA AVE,,,,ALOHA AVE intersection,,1317
27347000,15TH AVE,14TH AVE \ ALOHA AVE,,,,14TH AVE \ ALOHA AVE intersection,,1318
32878000,15TH AVE,ENCINAL WALK,,,,ENCINAL WALK intersection,,1320
32879000,15TH AVE,CRESTWELL WALK \ NORIEGA ST,,,,CRESTWELL WALK \ NORIEGA ST intersection,,1322
32880000,15TH AVE,MORAGA ST,,,,MORAGA ST intersection,,1324
27325000,15TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1326
27321000,15TH AVE,SHELDON TER,,,,SHELDON TER intersection,,1328
27323000,15TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1330
32874000,15TH AVE,MOUNT LN,,,,MOUNT LN intersection,,1332
27308000,15TH AVE,ORTEGA ST \ ORTEGA WAY,,,,ORTEGA ST \ ORTEGA WAY intersection,,1334
27307000,15TH AVE,MANDALAY LN \ PACHECO ST,,,,MANDALAY LN \ PACHECO ST intersection,,1336
23189000,15TH AVE,FANNING WAY \ QUINTARA ST,,,,FANNING WAY \ QUINTARA ST intersection,,1338
23003000,15TH AVE,RIVERA ST,,,,RIVERA ST intersection,,1340
23000000,15TH AVE,RIVERA ST,,,,RIVERA ST intersection,,1341
22994000,15TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,1343
22992000,15TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,1345
22955000,15TH AVE,ULLOA ST,,,,ULLOA ST intersection,,1347
22953000,15TH AVE,VICENTE ST,,,,VICENTE ST intersection,,1349
22952000,15TH AVE,WAWONA ST,,,,WAWONA ST intersection,,1351
22940000,15TH AVE,WEST PORTAL AVE,,,,WEST PORTAL AVE intersection,,1353
33004000,15TH AVE,PORTOLA DR,,,,PORTOLA DR intersection,,1355
23848000,15TH ST,08TH ST \ CAROLINA ST,,,,08TH ST \ CAROLINA ST intersection,,1357
23849000,15TH ST,DE HARO ST,,,,DE HARO ST intersection,,1359
23857000,15TH ST,RHODE ISLAND ST,,,,RHODE ISLAND ST intersection,,1361
23858000,15TH ST,HENRY ADAMS ST \ KANSAS ST,,,,HENRY ADAMS ST \ KANSAS ST intersection,,1363
23863000,15TH ST,VERMONT ST,,,,VERMONT ST intersection,,1365
23864000,15TH ST,SAN BRUNO AVE,,,,SAN BRUNO AVE intersection,,1367
24185000,15TH ST,UTAH ST,,,,UTAH ST intersection,,1369
24186000,15TH ST,POTRERO AVE,,,,POTRERO AVE intersection,,1371
24193000,15TH ST,HAMPSHIRE ST,,,,HAMPSHIRE ST intersection,,1373
24213000,15TH ST,BRYANT ST,,,,BRYANT ST intersection,,1374
24214000,15TH ST,FLORIDA ST,,,,FLORIDA ST intersection,,1376
24221000,15TH ST,ALABAMA ST,,,,ALABAMA ST intersection,,1377
24222000,15TH ST,TREAT AVE,,,,TREAT AVE intersection,,1379
24223000,15TH ST,HARRISON ST,,,,HARRISON ST intersection,,1381
24224000,15TH ST,HARRISON ST,,,,HARRISON ST intersection,,1382
24335000,15TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1384
24338000,15TH ST,SHOTWELL ST,,,,SHOTWELL ST intersection,,1386
24341000,15TH ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,1388
24369000,15TH ST,NATOMA ST,,,,NATOMA ST intersection,,1390
24367000,15TH ST,CAPP ST,,,,CAPP ST intersection,,1392
24371000,15TH ST,MINNA ST,,,,MINNA ST intersection,,1394
24171000,15TH ST,MISSION ST,,,,MISSION ST intersection,,1396
24179000,15TH ST,WIESE ST,,,,WIESE ST intersection,,1398
24182000,15TH ST,JULIAN AVE,,,,JULIAN AVE intersection,,1400
24375000,15TH ST,CALEDONIA ST,,,,CALEDONIA ST intersection,,1402
24377000,15TH ST,VALENCIA ST,,,,VALENCIA ST intersection,,1404
25834000,15TH ST,ALBION ST,,,,ALBION ST intersection,,1406
